date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:56:57	676/676	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22612899e8-5d9%22	https://fancy-grass-2411.bss.design/robots.txt		(from )
20:56:58	20979/20979	---MCZ	200	added ('OK')	text/html	etag:W/%22636d181d-51f3%22	https://fancy-grass-2411.bss.design/	C:/Users/Cappy/Desktop/gigi-proj/MECinfo/fancy-grass-2411.bss.design/index.html	(from )
20:56:59	194901/194901	---M-Z	200	added ('OK')	text/css	etag:W/%222f955-er7QcON84GDApWFXXx1Bp/JI/HQ%22	https://cdn.jsdelivr.net/npm/bootstrap@5.2.2/dist/css/bootstrap.min.css	C:/Users/Cappy/Desktop/gigi-proj/MECinfo/cdn.jsdelivr.net/npm/bootstrap@5.2.2/dist/css/bootstrap.min.css	(from https://fancy-grass-2411.bss.design/)
20:56:59	64847/64847	---M--	200	added ('OK')	image/jpeg	etag:%22636d181d-fd4f%22	https://fancy-grass-2411.bss.design/assets/img/WhatsApp%20Image%202022-11-09%20at%2012.52.06%20AM.jpeg?h=215e2c31a1879984a223578b354731df	C:/Users/Cappy/Desktop/gigi-proj/MECinfo/fancy-grass-2411.bss.design/assets/img/WhatsApp%20Image%202022-11-09%20at%2012.52.06%20AM096a.jpg	(from https://fancy-grass-2411.bss.design/)
20:56:59	26053/26053	---M-Z	200	added ('OK')	text/css	etag:%225eb03d5d-65c5%22	https://cdnjs.cloudflare.com/ajax/libs/aos/2.3.4/aos.css	C:/Users/Cappy/Desktop/gigi-proj/MECinfo/cdnjs.cloudflare.com/ajax/libs/aos/2.3.4/aos.css	(from https://fancy-grass-2411.bss.design/)
20:57:00	52789/52789	---M-Z	200	added ('OK')	text/css	etag:%225eb03d2a-ce35%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/3.5.2/animate.min.css	C:/Users/Cappy/Desktop/gigi-proj/MECinfo/cdnjs.cloudflare.com/ajax/libs/animate.css/3.5.2/animate.min.css	(from https://fancy-grass-2411.bss.design/)
20:57:00	840/840	---MCZ	200	added ('OK')	text/css	etag:W/%22636d181d-348%22	https://fancy-grass-2411.bss.design/assets/css/styles.min.css?h=0a537a44f222162ec09bab574d8f3f1a	C:/Users/Cappy/Desktop/gigi-proj/MECinfo/fancy-grass-2411.bss.design/assets/css/styles.min6263.css	(from https://fancy-grass-2411.bss.design/)
20:57:00	3609/3609	---M-Z	200	added ('OK')	text/css	etag:%225eb03d72-e19%22	https://cdnjs.cloudflare.com/ajax/libs/baguettebox.js/1.11.1/baguetteBox.min.css	C:/Users/Cappy/Desktop/gigi-proj/MECinfo/cdnjs.cloudflare.com/ajax/libs/baguettebox.js/1.11.1/baguetteBox.min.css	(from https://fancy-grass-2411.bss.design/)
20:57:01	117510/117510	---M--	200	added ('OK')	image/jpeg	etag:%22636d181d-1cb06%22	https://fancy-grass-2411.bss.design/assets/img/civil-engineering-jobs-quick-guide.jpg?h=8f971ac1c9a68eb5d8b2f669278cf7d6	C:/Users/Cappy/Desktop/gigi-proj/MECinfo/fancy-grass-2411.bss.design/assets/img/civil-engineering-jobs-quick-guide6425.jpg	(from https://fancy-grass-2411.bss.design/)
20:57:02	55278/55278	---M--	200	added ('OK')	image/jpeg	etag:%22636d181d-d7ee%22	https://fancy-grass-2411.bss.design/assets/img/shutterstock_1709519638.500x0-is.jpg?h=1d272cb39246bb234a080e514fe54a6f	C:/Users/Cappy/Desktop/gigi-proj/MECinfo/fancy-grass-2411.bss.design/assets/img/shutterstock_1709519638.500x0-is4a90.jpg	(from https://fancy-grass-2411.bss.design/)
